supplier_id,supplier_name,city,contact_person,mobile
1,Amul Distributor,Raipur,Manager 1,9943033122
2,Nestlé India,Delhi,Manager 2,9055721699
3,Britannia Foods,Mumbai,Manager 3,9883151286
4,ITC Foods,Kolkata,Manager 4,9757104760
5,Parle Products,Mumbai,Manager 5,9032684033
6,Hindustan Unilever,Mumbai,Manager 6,9163457929
7,Dabur India,Ghaziabad,Manager 7,9257332980
8,Patanjali Ayurved,Haridwar,Manager 8,9728090996
9,Tata Consumer,Mumbai,Manager 9,9621170426
10,Fortune Foods,Ahmedabad,Manager 10,9869104275
11,PepsiCo India,Gurugram,Manager 11,9744545865
12,Coca-Cola India,Gurugram,Manager 12,9961742377
13,Johnson & Johnson,Mumbai,Manager 13,9744477997
14,Colgate India,Mumbai,Manager 14,9223199772
15,Everest Spices,Mumbai,Manager 15,9318376344
16,MDH Spices,Delhi,Manager 16,9217166529
17,Catch Foods,Noida,Manager 17,9995537776
18,McCain India,Ahmedabad,Manager 18,9736637878
19,Godrej Consumer,Mumbai,Manager 19,9087206960
20,Marico Ltd.,Mumbai,Manager 20,9061070668
